N,P,K,temperatura,humedad,ph,label
55.2,34.8,24.1,25.2,72.5,6.5,arroz
48.6,31.2,22.9,24.1,68.0,6.4,arroz
52.1,33.5,26.3,26.0,75.4,6.6,arroz
58.0,36.1,27.2,27.3,78.2,6.7,arroz
46.9,29.8,20.5,23.2,65.1,6.3,arroz
50.5,32.0,23.4,25.0,70.3,6.5,arroz
54.0,35.0,24.8,26.8,74.2,6.6,arroz
49.3,30.9,21.7,24.6,69.5,6.4,arroz
57.1,37.4,28.0,27.8,77.0,6.7,arroz
53.2,33.1,25.0,25.9,71.6,6.5,arroz
68.2,40.1,30.5,29.4,55.2,6.6,maíz
72.5,42.0,32.2,30.1,52.6,6.7,maíz
65.9,39.0,29.8,28.7,49.3,6.5,maíz
70.3,41.5,31.0,31.2,58.1,6.8,maíz
63.4,37.2,28.5,27.9,46.7,6.4,maíz
76.0,44.2,33.1,32.0,53.4,6.9,maíz
67.1,40.5,30.0,29.8,50.5,6.6,maíz
73.3,43.0,32.8,31.6,57.0,6.8,maíz
69.0,41.0,31.5,30.8,54.1,6.7,maíz
66.2,38.8,29.3,28.5,47.9,6.5,maíz
60.1,28.2,24.0,31.8,38.5,6.8,algodón
58.3,26.5,22.6,30.5,45.2,6.9,algodón
64.0,29.9,25.1,32.4,42.1,7.1,algodón
52.5,25.4,20.7,29.6,36.8,6.6,algodón
66.2,30.8,26.0,33.1,39.7,7.2,algodón
55.4,27.1,21.9,30.8,41.0,6.7,algodón
61.3,28.8,24.5,32.9,35.9,7.0,algodón
59.8,27.9,23.6,31.7,44.0,6.8,algodón
63.5,30.2,25.7,33.4,40.5,7.1,algodón
57.0,26.9,22.8,30.9,37.6,6.9,algodón
45.2,24.5,22.0,19.8,63.2,6.6,trigo
41.6,22.1,20.9,17.3,58.0,6.5,trigo
38.9,21.0,19.8,16.5,52.4,6.4,trigo
49.7,25.9,24.1,21.2,66.1,6.7,trigo
35.5,20.2,18.7,15.9,47.5,6.3,trigo
44.0,23.5,22.6,20.4,60.3,6.6,trigo
42.8,22.7,21.4,18.7,55.6,6.5,trigo
47.1,24.8,23.5,22.0,62.7,6.7,trigo
39.6,21.5,19.5,16.9,50.1,6.4,trigo
46.3,24.1,22.9,20.9,59.2,6.6,trigo

